insectid,measurement,length
3-T1-0-B5,1,9.31
3-T1-0-B5,2,9.43
3-T1-0-B5,3,9.32
3-T1-0-W1,1,5.21
3-T1-0-W1,2,5.34
3-T1-0-W1,3,5.36
3-T1-0-W2,1,3.87
3-T1-0-W2,2,3.94
3-T1-0-W2,3,3.87
3-T1-0-W3,1,4.43
3-T1-0-W3,2,4.41
3-T1-0-W3,3,4.43
3-T1-0-W4,1,5.38
3-T1-0-W4,2,5.48
3-T1-0-W4,3,5.36
3-T1-0-W5,1,5.04
3-T1-0-W5,2,5.08
3-T1-0-W5,3,4.98
3-T1-0-W6,1,4.65
3-T1-0-W6,2,4.53
3-T1-0-W6,3,4.55
3-T1-0-W7,1,4.85
3-T1-0-W7,2,4.76
3-T1-0-W7,3,4.77
3-T1-0-W8,1,4.81
3-T1-0-W8,2,4.88
3-T1-0-W8,3,4.8
3-T1-0-W9,1,4.9
3-T1-0-W9,2,4.94
3-T1-0-W9,3,4.89
3-T1-0-W10,1,5.25
3-T1-0-W10,2,5.27
3-T1-0-W10,3,5.17
3-T1-0-W11,1,5.31
3-T1-0-W11,2,5.28
3-T1-0-W11,3,5.15
3-T1-0-W12,1,4.19
3-T1-0-W12,2,4.13
3-T1-0-W12,3,4.22
3-T1-0-W13,1,4.57
3-T1-0-W13,2,4.58
3-T1-0-W13,3,4.56
3-T1-0-W14,1,4.31
3-T1-0-W14,2,4.32
3-T1-0-W14,3,4.26
3-T1-0-W15,1,5.79
3-T1-0-W15,2,5.83
3-T1-0-W15,3,5.76
3-T1-25-B1,1,10.16
3-T1-25-B1,2,10.15
3-T1-25-B1,3,10.15
3-T1-25-B2,1,7.82
3-T1-25-B2,2,7.88
3-T1-25-B2,3,7.83
3-T1-25-W1,1,5.26
3-T1-25-W1,2,5.33
3-T1-25-W1,3,5.27
3-T1-25-W2,1,4.88
3-T1-25-W2,2,4.94
3-T1-25-W2,3,4.91
3-T1-25-W3,1,5.32
3-T1-25-W3,2,5.42
3-T1-25-W3,3,5.33
3-T1-25-W4,1,5.98
3-T1-25-W4,2,5.96
3-T1-25-W4,3,5.88
3-T1-25-W5,1,5.66
3-T1-25-W5,2,5.64
3-T1-25-W5,3,5.66
3-T1-25-W6,1,4.26
3-T1-25-W6,2,4.17
3-T1-25-W6,3,4.27
3-T1-25-W7,1,4.85
3-T1-25-W7,2,4.77
3-T1-25-W7,3,4.75
3-T1-25-W8,1,5.3
3-T1-25-W8,2,5.22
3-T1-25-W8,3,5.18
3-T1-50-B1,1,12.86
3-T1-50-B1,2,12.82
3-T1-50-B1,3,12.69
3-T1-50-W1,1,5.12
3-T1-50-W1,2,5.12
3-T1-50-W1,3,5.14
3-T1-50-W2,1,5.31
3-T1-50-W2,2,5.27
3-T1-50-W2,3,5.26
3-T1-50-W3,1,4.5
3-T1-50-W3,2,4.53
3-T1-50-W3,3,4.51
3-T2-0-B1,1,9.69
3-T2-0-B1,2,9.67
3-T2-0-B1,3,9.65
3-T2-0-W1,1,5.62
3-T2-0-W1,2,5.58
3-T2-0-W1,3,5.58
3-T2-0-W2,1,5.67
3-T2-0-W2,2,5.57
3-T2-0-W2,3,5.58
3-T2-0-W3,1,5.58
3-T2-0-W3,2,5.58
3-T2-0-W3,3,5.59
3-T2-0-W4,1,4.7
3-T2-0-W4,2,4.73
3-T2-0-W4,3,4.74
3-T2-0-W5,1,5.17
3-T2-0-W5,2,5.17
3-T2-0-W5,3,5.19
3-T2-0-W6,1,7.61
3-T2-0-W6,2,7.57
3-T2-0-W6,3,7.59
3-T2-25-B1,1,13.04
3-T2-25-B1,2,13
3-T2-25-B1,3,13.03
3-T2-25-B2,1,6.71
3-T2-25-B2,2,6.7
3-T2-25-B2,3,6.67
3-T2-25-W1,1,4.61
3-T2-25-W1,2,4.51
3-T2-25-W1,3,4.42
3-T2-25-W2,1,4.7
3-T2-25-W2,2,4.78
3-T2-25-W2,3,4.77
3-T2-25-W3,1,4.78
3-T2-25-W3,2,5
3-T2-25-W3,3,4.84
3-T2-50-B1,1,9.27
3-T2-50-B1,2,9.24
3-T2-50-B1,3,9.31
3-T2-50-B2,1,9.52
3-T2-50-B2,2,9.62
3-T2-50-B2,3,9.57
3-T2-50-B3,1,6.61
3-T2-50-B3,2,6.58
3-T2-50-B3,3,6.55
3-T2-50-B4,1,6.72
3-T2-50-B4,2,6.75
3-T2-50-B4,3,6.76
3-T2-50-B5,1,7.79
3-T2-50-B5,2,7.74
3-T2-50-B5,3,7.62
3-T2-50-B6,1,10.01
3-T2-50-B6,2,10.05
3-T2-50-B6,3,10.02
3-T2-50-W1,1,4.36
3-T2-50-W1,2,4.33
3-T2-50-W1,3,4.43
3-T2-50-W2,1,5.24
3-T2-50-W2,2,5.22
3-T2-50-W2,3,5.23
3-T2-50-W3,1,4.78
3-T2-50-W3,2,4.75
3-T2-50-W3,3,4.73
3-T2-50-W4,1,4.61
3-T2-50-W4,2,4.58
3-T2-50-W4,3,4.62
3-T2-50-W5,1,4.87
3-T2-50-W5,2,4.86
3-T2-50-W5,3,4.89
3-T2-50-W6,1,4.72
3-T2-50-W6,2,4.7
3-T2-50-W6,3,4.65
3-T2-50-W7,1,4.43
3-T2-50-W7,2,4.41
3-T2-50-W7,3,4.47
3-T3-0-B1,1,9.39
3-T3-0-B1,2,9.32
3-T3-0-B1,3,9.31
3-T3-0-B2,1,9.79
3-T3-0-B2,2,9.76
3-T3-0-B2,3,9.78
3-T3-0-W1,1,5.21
3-T3-0-W1,2,5.24
3-T3-0-W1,3,5.26
3-T3-0-W2,1,4.91
3-T3-0-W2,2,4.98
3-T3-0-W2,3,5
3-T3-0-W3,1,5.45
3-T3-0-W3,2,5.37
3-T3-0-W3,3,5.38
3-T3-0-W4,1,4.44
3-T3-0-W4,2,4.44
3-T3-0-W4,3,4.47
3-T3-0-W5,1,4.81
3-T3-0-W5,2,4.82
3-T3-0-W5,3,4.86
3-T3-0-W6,1,5.05
3-T3-0-W6,2,5.07
3-T3-0-W6,3,5.04
3-T3-0-W7,1,5.06
3-T3-0-W7,2,5.04
3-T3-0-W7,3,5.04
3-T3-0-W8,1,5.27
3-T3-0-W8,2,5.3
3-T3-0-W8,3,5.32
3-T3-0-W9,1,4.67
3-T3-0-W9,2,4.72
3-T3-0-W9,3,4.73
3-T3-0-W10,1,5
3-T3-0-W10,2,4.91
3-T3-0-W10,3,4.97
3-T3-0-W11,1,4.58
3-T3-0-W11,2,4.6
3-T3-0-W11,3,4.57
3-T3-0-W12,1,4.66
3-T3-0-W12,2,4.66
3-T3-0-W12,3,4.72
3-T3-0-W13,1,5.14
3-T3-0-W13,2,5.22
3-T3-0-W13,3,5.2
3-T3-0-W14,1,4.68
3-T3-0-W14,2,4.69
3-T3-0-W14,3,4.71
3-T3-0-W15,1,5.58
3-T3-0-W15,2,5.55
3-T3-0-W15,3,5.67
3-T3-0-W16,1,3.85
3-T3-0-W16,2,3.86
3-T3-0-W16,3,3.88
3-T3-0-W17,1,5.46
3-T3-0-W17,2,5.44
3-T3-0-W17,3,5.47
3-T3-0-W18,1,4.18
3-T3-0-W18,2,4.22
3-T3-0-W18,3,4.24
3-T3-25-B1,1,9.95
3-T3-25-B1,2,9.99
3-T3-25-B1,3,9.98
3-T3-25-B2,1,6.7
3-T3-25-B2,2,6.71
3-T3-25-B2,3,6.68
3-T3-25-W1,1,5.71
3-T3-25-W1,2,5.63
3-T3-25-W1,3,5.58
3-T3-25-W2,1,5.35
3-T3-25-W2,2,5.33
3-T3-25-W2,3,5.36
3-T3-25-W3,1,4.18
3-T3-25-W3,2,4.24
3-T3-25-W3,3,4.2
3-T3-25-W4,1,4.44
3-T3-25-W4,2,4.41
3-T3-25-W4,3,4.46
3-T3-25-W5,1,5.87
3-T3-25-W5,2,5.94
3-T3-25-W5,3,5.88
3-T3-25-W6,1,5.24
3-T3-25-W6,2,5.24
3-T3-25-W6,3,5.26
3-T3-25-W7,1,3.96
3-T3-25-W7,2,3.97
3-T3-25-W7,3,4.01
3-T3-50-B1,1,7.23
3-T3-50-B1,2,7.3
3-T3-50-B1,3,7.17
3-T3-50-B2,1,6.68
3-T3-50-B2,2,6.68
3-T3-50-B2,3,6.69
3-T3-50-W1,1,3.97
3-T3-50-W1,2,3.88
3-T3-50-W1,3,3.81
3-T3-50-W2,1,5.78
3-T3-50-W2,2,5.76
3-T3-50-W2,3,5.69
3-T3-50-W3,1,4
3-T3-50-W3,2,3.99
3-T3-50-W3,3,4.07
3-T3-50-W4,1,5.03
3-T3-50-W4,2,5.13
3-T3-50-W4,3,5.06
3-T3-50-W5,1,4.6
3-T3-50-W5,2,4.63
3-T3-50-W5,3,4.69
3-T3-50-W6,1,5.24
3-T3-50-W6,2,5.3
3-T3-50-W6,3,5.22
3-T3-50-W7,1,6.54
3-T3-50-W7,2,6.61
3-T3-50-W7,3,6.57
3-T4-0-B1,1,9.22
3-T4-0-B1,2,9.32
3-T4-0-B1,3,9.35
3-T4-0-B2,1,9.57
3-T4-0-B2,2,9.55
3-T4-0-B2,3,9.47
3-T4-0-B3,1,9.79
3-T4-0-B3,2,9.68
3-T4-0-B3,3,9.74
3-T4-0-B4,1,10.08
3-T4-0-B4,2,10.1
3-T4-0-B4,3,10.17
3-T4-0-W1,1,4.31
3-T4-0-W1,2,4.3
3-T4-0-W1,3,4.33
3-T4-0-W2,1,5.67
3-T4-0-W2,2,5.64
3-T4-0-W2,3,5.63
3-T4-0-W3,1,4.55
3-T4-0-W3,2,4.57
3-T4-0-W3,3,4.57
3-T4-25-B1,1,9.65
3-T4-25-B1,2,9.7
3-T4-25-B1,3,9.75
3-T4-25-B2,1,9.61
3-T4-25-B2,2,9.59
3-T4-25-B2,3,9.51
3-T4-25-W1,1,5.9
3-T4-25-W1,2,5.97
3-T4-25-W1,3,5.97
3-T4-50-B1,1,9.41
3-T4-50-B1,2,9.38
3-T4-50-B1,3,9.38
3-T4-50-B2,1,9.81
3-T4-50-B2,2,9.76
3-T4-50-B2,3,9.87
3-T4-50-B3,1,9.4
3-T4-50-B3,2,9.42
3-T4-50-B3,3,9.29
3-T4-50-B4,1,9.27
3-T4-50-B4,2,9.32
3-T4-50-B4,3,9.27
3-T4-50-B5,1,14
3-T4-50-B5,2,14.04
3-T4-50-B5,3,13.98
3-T4-50-B6,1,13.67
3-T4-50-B6,2,13.63
3-T4-50-B6,3,13.7
3-T4-50-B7,1,11.57
3-T4-50-B7,2,11.74
3-T4-50-B7,3,11.66
3-T4-50-B8,1,7.85
3-T4-50-B8,2,7.92
3-T4-50-B8,3,7.87
3-T4-50-B9,1,7.87
3-T4-50-B9,2,7.69
3-T4-50-B9,3,7.78
3-T4-50-W1,1,5.87
3-T4-50-W1,2,5.87
3-T4-50-W1,3,5.73
3-T4-50-W2,1,4.93
3-T4-50-W2,2,5.08
3-T4-50-W2,3,5.04
3-T4-50-W3,1,5.14
3-T4-50-W3,2,5.06
3-T4-50-W3,3,5.1
3-T4-50-W4,1,5.52
3-T4-50-W4,2,5.51
3-T4-50-W4,3,5.49
3-T4-50-W5,1,5.66
3-T4-50-W5,2,5.63
3-T4-50-W5,3,5.68
3-T4-50-W6,1,4.68
3-T4-50-W6,2,4.71
3-T4-50-W6,3,4.77
3-T4-50-W7,1,5.62
3-T4-50-W7,2,5.57
3-T4-50-W7,3,5.62
3-T4-50-W8,1,5.35
3-T4-50-W8,2,5.27
3-T4-50-W8,3,5.3
3-T4-50-W9,1,5.79
3-T4-50-W9,2,5.8
3-T4-50-W9,3,5.69
3-T4-50-W10,1,4.81
3-T4-50-W10,2,4.98
3-T4-50-W10,3,4.9
3-T4-50-W11,1,4.59
3-T4-50-W11,2,4.55
3-T4-50-W11,3,4.56
3-T4-50-W12,1,4.85
3-T4-50-W12,2,4.93
3-T4-50-W12,3,4.98
3-T4-50-W13,1,5.24
3-T4-50-W13,2,5.22
3-T4-50-W13,3,5.21
3-T4-50-W14,1,5.74
3-T4-50-W14,2,5.71
3-T4-50-W14,3,5.75
3-T4-50-W15,1,4.91
3-T4-50-W15,2,4.86
3-T4-50-W15,3,4.87
3-T4-50-W16,1,5.44
3-T4-50-W16,2,5.36
3-T4-50-W16,3,5.36
3-T4-50-W17,1,4.56
3-T4-50-W17,2,4.62
3-T4-50-W17,3,4.48
3-T4-50-W18,1,4.93
3-T4-50-W18,2,4.91
3-T4-50-W18,3,4.91
3-T4-50-W19,1,7.1
3-T4-50-W19,2,7.12
3-T4-50-W19,3,7.1
3-T4-50-W20,1,7.31
3-T4-50-W20,2,7.31
3-T4-50-W20,3,7.28
3-T4-50-W21,1,6.54
3-T4-50-W21,2,6.55
3-T4-50-W21,3,6.57
3-T5-0-B1,1,9.89
3-T5-0-B1,2,9.78
3-T5-0-B1,3,9.76
3-T5-0-B2,1,12.62
3-T5-0-B2,2,12.67
3-T5-0-B2,3,12.61
3-T5-0-B3,1,10.2
3-T5-0-B3,2,10.13
3-T5-0-B3,3,10.27
3-T5-25-B1,1,7.11
3-T5-25-B1,2,7.01
3-T5-25-B1,3,6.89
3-T5-25-W1,1,5.21
3-T5-25-W1,2,5.22
3-T5-25-W1,3,5.28
3-T5-25-W2,1,5.32
3-T5-25-W2,2,5.16
3-T5-25-W2,3,5.13
3-T5-25-W3,1,5.06
3-T5-25-W3,2,5.04
3-T5-25-W3,3,4.96
3-T5-25-W4,1,5.2
3-T5-25-W4,2,5.29
3-T5-25-W4,3,5.21
3-T5-25-W5,1,6.61
3-T5-25-W5,2,6.6
3-T5-25-W5,3,6.63
3-T5-50-B1,1,13.44
3-T5-50-B1,2,13.42
3-T5-50-B1,3,13.45
3-T5-50-W1,1,5.73
3-T5-50-W1,2,5.74
3-T5-50-W1,3,5.81
3-T5-50-W2,1,5.6
3-T5-50-W2,2,5.56
3-T5-50-W2,3,5.58
3-T5-50-W3,1,5.11
3-T5-50-W3,2,4.92
3-T5-50-W3,3,4.97
3-T5-50-W4,1,4.64
3-T5-50-W4,2,4.67
3-T5-50-W4,3,4.65
3-T5-50-W5,1,4.2
3-T5-50-W5,2,4.31
3-T5-50-W5,3,4.33
3-T5-50-W6,1,5.73
3-T5-50-W6,2,5.73
3-T5-50-W6,3,5.72
3-T5-50-W7,1,5.53
3-T5-50-W7,2,5.52
3-T5-50-W7,3,5.56
3-T5-50-W8,1,4.95
3-T5-50-W8,2,4.98
3-T5-50-W8,3,4.98
3-T5-50-W9,1,5.07
3-T5-50-W9,2,5.05
3-T5-50-W9,3,5.15
3-T5-50-W10,1,5.23
3-T5-50-W10,2,5.23
3-T5-50-W10,3,5.26
3-T5-50-W11,1,5.29
3-T5-50-W11,2,5.14
3-T5-50-W11,3,5.2
3-T5-50-W12,1,4.83
3-T5-50-W12,2,4.84
3-T5-50-W12,3,4.83
3-T5-50-W13,1,8.31
3-T5-50-W13,2,8.34
3-T5-50-W13,3,8.33
3-T6-0-W1,1,5
3-T6-0-W1,2,4.98
3-T6-0-W1,3,5.01
3-T6-0-W2,1,5.09
3-T6-0-W2,2,5.1
3-T6-0-W2,3,5.11
3-T6-0-W3,1,5.84
3-T6-0-W3,2,5.87
3-T6-0-W3,3,5.86
3-T6-0-W4,1,5.76
3-T6-0-W4,2,5.73
3-T6-0-W4,3,5.78
3-T6-0-W5,1,4.68
3-T6-0-W5,2,4.62
3-T6-0-W5,3,4.62
3-T6-0-W6,1,5.68
3-T6-0-W6,2,5.67
3-T6-0-W6,3,5.75
3-T6-0-W7,1,5.38
3-T6-0-W7,2,5.35
3-T6-0-W7,3,5.28
3-T6-0-W8,1,5.05
3-T6-0-W8,2,5.03
3-T6-0-W8,3,5.07
3-T6-0-W9,1,4.86
3-T6-0-W9,2,4.84
3-T6-0-W9,3,4.86
3-T6-0-W10,1,6.34
3-T6-0-W10,2,6.29
3-T6-0-W10,3,6.33
3-T6-25-B1,1,9.73
3-T6-25-B1,2,9.72
3-T6-25-B1,3,9.67
3-T6-25-B2,1,9.77
3-T6-25-B2,2,9.71
3-T6-25-B2,3,9.78
3-T6-25-B3,1,9.52
3-T6-25-B3,2,9.49
3-T6-25-B3,3,9.62
3-T6-25-B4,1,7.4
3-T6-25-B4,2,7.43
3-T6-25-B4,3,7.43
3-T6-25-B5,1,6.16
3-T6-25-B5,2,6.12
3-T6-25-B5,3,6.19
3-T6-25-W1,1,4.46
3-T6-25-W1,2,4.31
3-T6-25-W1,3,4.42
3-T6-25-W2,1,5.34
3-T6-25-W2,2,5.33
3-T6-25-W2,3,5.32
3-T6-25-W3,1,7.08
3-T6-25-W3,2,7.09
3-T6-25-W3,3,7.1
3-T6-50-B1,1,9.71
3-T6-50-B1,2,9.85
3-T6-50-B1,3,9.76
3-T6-50-B2,1,9.37
3-T6-50-B2,2,9.4
3-T6-50-B2,3,9.29
3-T6-50-B3,1,9.03
3-T6-50-B3,2,8.9
3-T6-50-B3,3,9.07
3-T6-50-B4,1,12.96
3-T6-50-B4,2,12.93
3-T6-50-B4,3,12.87
3-T6-50-W1,1,5.18
3-T6-50-W1,2,5.24
3-T6-50-W1,3,5.16
3-T6-50-W2,1,6.87
3-T6-50-W2,2,6.98
3-T6-50-W2,3,6.99
3-T7-0-B1,1,9.54
3-T7-0-B1,2,9.57
3-T7-0-B1,3,9.69
3-T7-0-B2,1,9.16
3-T7-0-B2,2,9.29
3-T7-0-B2,3,9.17
3-T7-0-W1,1,5.11
3-T7-0-W1,2,5.07
3-T7-0-W1,3,5.05
3-T7-0-W2,1,5.18
3-T7-0-W2,2,5.18
3-T7-0-W2,3,5.13
3-T7-0-W3,1,5.76
3-T7-0-W3,2,5.74
3-T7-0-W3,3,5.74
3-T7-0-W4,1,4.73
3-T7-0-W4,2,4.67
3-T7-0-W4,3,4.68
3-T7-0-W5,1,4.61
3-T7-0-W5,2,4.6
3-T7-0-W5,3,4.6
3-T7-0-W6,1,4.51
3-T7-0-W6,2,4.49
3-T7-0-W6,3,4.48
3-T7-0-W7,1,5.22
3-T7-0-W7,2,5.2
3-T7-0-W7,3,5.21
3-T7-0-W8,1,7.27
3-T7-0-W8,2,7.33
3-T7-0-W8,3,7.31
3-T7-0-W9,1,6.89
3-T7-0-W9,2,6.88
3-T7-0-W9,3,6.91
3-T7-0-W10,1,7.61
3-T7-0-W10,2,7.62
3-T7-0-W10,3,7.6
3-T7-0-W11,1,8.29
3-T7-0-W11,2,8.28
3-T7-0-W11,3,8.2
3-T7-0-W12,1,6.69
3-T7-0-W12,2,6.66
3-T7-0-W12,3,6.58
3-T7-0-W13,1,8.29
3-T7-0-W13,2,8.31
3-T7-0-W13,3,8.26
3-T7-25-B1,1,9.61
3-T7-25-B1,2,9.54
3-T7-25-B1,3,9.61
3-T7-25-B2,1,8.79
3-T7-25-B2,2,8.9
3-T7-25-B2,3,9.05
3-T7-25-B3,1,9.64
3-T7-25-B3,2,9.69
3-T7-25-B3,3,9.65
3-T7-25-W1,1,6.75
3-T7-25-W1,2,6.7
3-T7-25-W1,3,6.75
3-T7-25-W2,1,6.89
3-T7-25-W2,2,7
3-T7-25-W2,3,6.95
3-T7-50-B1,1,8.96
3-T7-50-B1,2,8.95
3-T7-50-B1,3,8.94
3-T7-50-B2,1,9.4
3-T7-50-B2,2,9.35
3-T7-50-B2,3,9.26
3-T7-50-B3,1,9.78
3-T7-50-B3,2,9.75
3-T7-50-B3,3,9.8
3-T7-50-B4,1,8.87
3-T7-50-B4,2,8.86
3-T7-50-B4,3,8.85
3-T7-50-B5,1,9.64
3-T7-50-B5,2,9.62
3-T7-50-B5,3,9.62
3-T7-50-B6,1,9.67
3-T7-50-B6,2,9.65
3-T7-50-B6,3,9.61
3-T7-50-B7,1,7.6
3-T7-50-B7,2,7.62
3-T7-50-B7,3,7.57
3-T7-50-W1,1,5.06
3-T7-50-W1,2,4.97
3-T7-50-W1,3,5.06
3-T7-50-W2,1,4.98
3-T7-50-W2,2,5
3-T7-50-W2,3,5.02
3-T7-50-W3,1,5.44
3-T7-50-W3,2,5.52
3-T7-50-W3,3,5.53
3-T7-50-W4,1,5.47
3-T7-50-W4,2,5.47
3-T7-50-W4,3,5.39
3-T7-50-W5,1,4.93
3-T7-50-W5,2,4.95
3-T7-50-W5,3,4.92
3-T7-50-W6,1,5.93
3-T7-50-W6,2,5.85
3-T7-50-W6,3,5.9
3-T7-50-W7,1,4.79
3-T7-50-W7,2,4.87
3-T7-50-W7,3,4.79
3-T7-50-W8,1,5.76
3-T7-50-W8,2,5.72
3-T7-50-W8,3,5.67
3-T7-50-W9,1,4.96
3-T7-50-W9,2,4.88
3-T7-50-W9,3,4.87
3-T7-50-W10,1,7.84
3-T7-50-W10,2,7.86
3-T7-50-W10,3,7.86
3-T8-0-B1,1,9.11
3-T8-0-B1,2,8.97
3-T8-0-B1,3,9.11
3-T8-0-B2,1,9.75
3-T8-0-B2,2,9.74
3-T8-0-B2,3,9.65
3-T8-0-B3,1,9.74
3-T8-0-B3,2,9.78
3-T8-0-B3,3,9.9
3-T8-0-B4,1,9.76
3-T8-0-B4,2,9.78
3-T8-0-B4,3,9.87
3-T8-0-B5,1,10.06
3-T8-0-B5,2,10.13
3-T8-0-B5,3,10.06
3-T8-0-B6,1,9.95
3-T8-0-B6,2,9.88
3-T8-0-B6,3,9.78
3-T8-0-B7,1,5.56
3-T8-0-B7,2,5.67
3-T8-0-B7,3,5.57
3-T8-0-W1,1,4.78
3-T8-0-W1,2,4.92
3-T8-0-W1,3,4.79
3-T8-0-W2,1,5
3-T8-0-W2,2,4.97
3-T8-0-W2,3,4.96
3-T8-0-W3,1,4.97
3-T8-0-W3,2,4.95
3-T8-0-W3,3,4.96
3-T8-0-W4,1,8.15
3-T8-0-W4,2,8.19
3-T8-0-W4,3,8.13
3-T8-0-W5,1,7.49
3-T8-0-W5,2,7.48
3-T8-0-W5,3,7.48
3-T8-0-W6,1,7.49
3-T8-0-W6,2,7.51
3-T8-0-W6,3,7.46
3-T8-0-W7,1,6.51
3-T8-0-W7,2,6.41
3-T8-0-W7,3,6.48
3-T8-25-B1,1,9.62
3-T8-25-B1,2,9.47
3-T8-25-B1,3,9.66
3-T8-25-B2,1,9.22
3-T8-25-B2,2,9.29
3-T8-25-B2,3,9.28
3-T8-25-B3,1,9.4
3-T8-25-B3,2,9.33
3-T8-25-B3,3,9.53
3-T8-25-B4,1,9.85
3-T8-25-B4,2,9.65
3-T8-25-B4,3,9.7
3-T8-25-B5,1,9.2
3-T8-25-B5,2,9.15
3-T8-25-B5,3,9.19
3-T8-25-W1,1,5.83
3-T8-25-W1,2,5.8
3-T8-25-W1,3,5.78
3-T8-25-W2,1,5.33
3-T8-25-W2,2,5.26
3-T8-25-W2,3,5.29
3-T8-25-W3,1,4.25
3-T8-25-W3,2,4.19
3-T8-25-W3,3,4.19
3-T8-25-W4,1,5.05
3-T8-25-W4,2,5.02
3-T8-25-W4,3,5.02
3-T8-25-W5,1,4.25
3-T8-25-W5,2,4.32
3-T8-25-W5,3,4.25
3-T8-25-W6,1,5.3
3-T8-25-W6,2,5.31
3-T8-25-W6,3,5.19
3-T8-25-W7,1,4.43
3-T8-25-W7,2,4.47
3-T8-25-W7,3,4.37
3-T8-25-W8,1,4.82
3-T8-25-W8,2,4.81
3-T8-25-W8,3,4.77
3-T8-25-W9,1,4.66
3-T8-25-W9,2,4.68
3-T8-25-W9,3,4.56
3-T8-25-W10,1,4.69
3-T8-25-W10,2,4.83
3-T8-25-W10,3,4.85
3-T8-25-W11,1,4.75
3-T8-25-W11,2,4.78
3-T8-25-W11,3,4.74
3-T8-25-W12,1,4.69
3-T8-25-W12,2,4.73
3-T8-25-W12,3,4.7
3-T8-25-W13,1,7.18
3-T8-25-W13,2,7.22
3-T8-25-W13,3,7.21
3-T8-25-W14,1,7.31
3-T8-25-W14,2,7.33
3-T8-25-W14,3,7.26
3-T8-25-W15,1,7.96
3-T8-25-W15,2,7.98
3-T8-25-W15,3,7.92
3-T8-50-B1,1,6.38
3-T8-50-B1,2,6.41
3-T8-50-B1,3,6.41
3-T8-50-B2,1,7.15
3-T8-50-B2,2,7.13
3-T8-50-B2,3,7.18
3-T8-50-B3,1,7.87
3-T8-50-B3,2,7.83
3-T8-50-B3,3,7.83
3-T8-50-B4,1,7.45
3-T8-50-B4,2,7.51
3-T8-50-B4,3,7.51
3-T8-50-B5,1,6.54
3-T8-50-B5,2,6.53
3-T8-50-B5,3,6.69
3-T8-50-W1,1,4.71
3-T8-50-W1,2,4.7
3-T8-50-W1,3,4.72
3-T8-50-W2,1,5.05
3-T8-50-W2,2,5.03
3-T8-50-W2,3,4.99
3-T8-50-W3,1,5.53
3-T8-50-W3,2,5.48
3-T8-50-W3,3,5.47
3-T8-50-W4,1,5.54
3-T8-50-W4,2,5.54
3-T8-50-W4,3,5.42
3-T8-50-W5,1,5.34
3-T8-50-W5,2,5.26
3-T8-50-W5,3,5.27
3-T8-50-W6,1,5.3
3-T8-50-W6,2,5.26
3-T8-50-W6,3,5.34
3-T8-50-W7,1,4.27
3-T8-50-W7,2,4.32
3-T8-50-W7,3,4.34
3-T8-50-W8,1,6.28
3-T8-50-W8,2,6.25
3-T8-50-W8,3,6.25
3-T8-50-W9,1,7.41
3-T8-50-W9,2,7.4
3-T8-50-W9,3,7.41
3-T9-0-B1,1,9.11
3-T9-0-B1,2,9.1
3-T9-0-B1,3,8.93
3-T9-0-W1,1,5.6
3-T9-0-W1,2,5.56
3-T9-0-W1,3,5.6
3-T9-0-W2,1,5.86
3-T9-0-W2,2,5.83
3-T9-0-W2,3,5.86
3-T9-0-W3,1,4.36
3-T9-0-W3,2,4.32
3-T9-0-W3,3,4.32
3-T9-0-W4,1,5.03
3-T9-0-W4,2,5.02
3-T9-0-W4,3,5
3-T9-0-W5,1,5.55
3-T9-0-W5,2,5.46
3-T9-0-W5,3,5.53
3-T9-0-W6,1,5.24
3-T9-0-W6,2,5.29
3-T9-0-W6,3,5.29
3-T9-0-W7,1,4.74
3-T9-0-W7,2,4.85
3-T9-0-W7,3,4.81
3-T9-0-W8,1,6.76
3-T9-0-W8,2,6.75
3-T9-0-W8,3,6.76
3-T9-0-W9,1,8.2
3-T9-0-W9,2,8.32
3-T9-0-W9,3,8.29
3-T9-25-B1,1,8.71
3-T9-25-B1,2,8.64
3-T9-25-B1,3,8.8
3-T9-25-B2,1,9.27
3-T9-25-B2,2,9.32
3-T9-25-B2,3,9.25
3-T9-25-B3,1,9.43
3-T9-25-B3,2,9.41
3-T9-25-B3,3,9.43
3-T9-25-W1,1,4.6
3-T9-25-W1,2,4.62
3-T9-25-W1,3,4.63
3-T9-25-W2,1,5.19
3-T9-25-W2,2,5.14
3-T9-25-W2,3,5.15
3-T9-25-W3,1,5.06
3-T9-25-W3,2,4.97
3-T9-25-W3,3,5
3-T9-25-W4,1,5.42
3-T9-25-W4,2,5.45
3-T9-25-W4,3,5.41
3-T9-25-W5,1,5.88
3-T9-25-W5,2,5.87
3-T9-25-W5,3,5.88
3-T9-25-W6,1,4.52
3-T9-25-W6,2,4.5
3-T9-25-W6,3,4.55
3-T9-25-W7,1,5.31
3-T9-25-W7,2,5.46
3-T9-25-W7,3,5.49
3-T9-25-W8,1,7.4
3-T9-25-W8,2,7.52
3-T9-25-W8,3,7.48
3-T9-50-B1,1,9.38
3-T9-50-B1,2,9.53
3-T9-50-B1,3,9.39
3-T9-50-B2,1,9.72
3-T9-50-B2,2,9.77
3-T9-50-B2,3,9.8
3-T9-50-B3,1,7.72
3-T9-50-B3,2,7.74
3-T9-50-B3,3,7.73
3-T9-50-B4,1,7.14
3-T9-50-B4,2,7.05
3-T9-50-B4,3,7.08
3-T9-50-W1,1,5.85
3-T9-50-W1,2,5.94
3-T9-50-W1,3,5.89
3-T9-50-W2,1,5.88
3-T9-50-W2,2,5.96
